Entry	Entry name	Gene names	Ensembl transcript
P53779	MK10_HUMAN	MAPK10 JNK3 JNK3A PRKM10 SAPK1B	ENST00000395157 [P53779-2];ENST00000395166 [P53779-3];ENST00000515400 [P53779-1];ENST00000515650 [P53779-1];ENST00000638225 [P53779-3];ENST00000638313 [P53779-1];ENST00000639175 [P53779-3];ENST00000639234 [P53779-2];ENST00000639242 [P53779-3];ENST00000640858 [P53779-2];ENST00000640970 [P53779-2];ENST00000641050 [P53779-2];ENST00000641051 [P53779-1];ENST00000641066 [P53779-1];ENST00000641110 [P53779-3];ENST00000641157 [P53779-1];ENST00000641170 [P53779-2];ENST00000641207 [P53779-1];ENST00000641274 [P53779-2];ENST00000641283 [P53779-3];ENST00000641287 [P53779-3];ENST00000641297 [P53779-3];ENST00000641341 [P53779-1];ENST00000641391 [P53779-3];ENST00000641410 [P53779-2];ENST00000641462 [P53779-1];ENST00000641647 [P53779-1];ENST00000641657 [P53779-3];ENST00000641724 [P53779-3];ENST00000641737 [P53779-3];ENST00000641803 [P53779-3];ENST00000641823 [P53779-1];ENST00000641862 [P53779-2];ENST00000641902 [P53779-1];ENST00000641911 [P53779-3];ENST00000641943 [P53779-3];ENST00000641952 [P53779-1];ENST00000641983 [P53779-1];ENST00000642009 [P53779-3];ENST00000642015 [P53779-3];ENST00000642038 [P53779-2];ENST00000642103 [P53779-3];
Q15759	MK11_HUMAN	MAPK11 PRKM11 SAPK2 SAPK2B	ENST00000330651 [Q15759-1];ENST00000395764 [Q15759-1];
Q9NXB0	MKS1_HUMAN	MKS1	ENST00000393119 [Q9NXB0-1];ENST00000537529 [Q9NXB0-3];
Q5HYA8	MKS3_HUMAN	TMEM67 MKS3	ENST00000409623 [Q5HYA8-3];ENST00000453321 [Q5HYA8-1];
O14950	ML12B_HUMAN	MYL12B MRLC2 MYLC2B	ENST00000237500;ENST00000400175;ENST00000581193;ENST00000584539;
Q15049	MLC1_HUMAN	MLC1 KIAA0027 WKL1	ENST00000311597 [Q15049-1];ENST00000395876 [Q15049-1];
Q9UHC1	MLH3_HUMAN	MLH3	ENST00000355774 [Q9UHC1-1];ENST00000380968 [Q9UHC1-2];ENST00000556740 [Q9UHC1-1];
Q9Y4U1	MMAC_HUMAN	MMACHC	ENST00000401061;
Q9H8L6	MMRN2_HUMAN	MMRN2 EMILIN3	ENST00000372027;
Q99583	MNT_HUMAN	MNT BHLHD3 ROX	ENST00000174618;
Q96BY2	MOAP1_HUMAN	MOAP1 PNMA4	ENST00000298894;ENST00000556883;ENST00000616515;ENST00000627896;
Q7L9L4	MOB1B_HUMAN	MOB1B MOB4A MOBKL1A	ENST00000309395 [Q7L9L4-1];ENST00000396051 [Q7L9L4-2];
Q3SYC2	MOGT2_HUMAN	MOGAT2 DC5 DGAT2L5	ENST00000198801 [Q3SYC2-1];ENST00000525093 [Q3SYC2-3];ENST00000526712 [Q3SYC2-2];
Q8NCK7	MOT11_HUMAN	SLC16A11 MCT11	ENST00000308009;
