Entry	Entry name	Gene names	Ensembl transcript
P62847	RS24_HUMAN	RPS24	ENST00000360830 [P62847-2];ENST00000372360 [P62847-1];ENST00000440692 [P62847-4];
P62753	RS6_HUMAN	RPS6 OK/SW-cl.2	ENST00000380394;
Q7L4I2	RSRC2_HUMAN	RSRC2	ENST00000331738 [Q7L4I2-1];
Q9Y399	RT02_HUMAN	MRPS2 CGI-91	ENST00000241600;ENST00000371785;
P82663	RT25_HUMAN	MRPS25 RPMS25	ENST00000253686 [P82663-1];ENST00000444840 [P82663-3];ENST00000449354 [P82663-2];
Q9BYN8	RT26_HUMAN	MRPS26 C20orf193 RPMS13	ENST00000380325;
P82673	RT35_HUMAN	MRPS35 MRPS28 HDCMD11P MDS023 PSEC0213	ENST00000081029 [P82673-1];ENST00000538315 [P82673-2];
Q9BSG5	RTBDN_HUMAN	RTBDN	ENST00000322912 [Q9BSG5-2];ENST00000393233 [Q9BSG5-1];ENST00000458671 [Q9BSG5-1];ENST00000592204 [Q9BSG5-3];
Q9NZ71	RTEL1_HUMAN	RTEL1 C20orf41 KIAA1088 NHL	ENST00000318100 [Q9NZ71-9];ENST00000360203 [Q9NZ71-6];ENST00000370003 [Q9NZ71-5];ENST00000370018 [Q9NZ71-1];ENST00000508582 [Q9NZ71-7];
Q6ZR62	RTL4_HUMAN	RTL4 MAR3 MART4 ZCCHC16	ENST00000340433;
A6ZKI3	RTL8C_HUMAN	RTL8C CXX1 FAM127A MAR8 MAR8C MART8	ENST00000257013;
Q16799	RTN1_HUMAN	RTN1 NSP	ENST00000267484 [Q16799-1];ENST00000342503 [Q16799-3];
O75298	RTN2_HUMAN	RTN2 NSPL1	ENST00000245923 [O75298-1];ENST00000344680 [O75298-2];ENST00000430715 [O75298-3];
Q9NQC3	RTN4_HUMAN	RTN4 KIAA0886 NOGO My043 SP1507	ENST00000317610 [Q9NQC3-2];ENST00000337526 [Q9NQC3-1];ENST00000357376 [Q9NQC3-6];ENST00000357732 [Q9NQC3-5];ENST00000394609 [Q9NQC3-3];ENST00000394611 [Q9NQC3-6];ENST00000404909 [Q9NQC3-6];ENST00000405240 [Q9NQC3-6];
Q5QGT7	RTP2_HUMAN	RTP2 Z3CXXC2	ENST00000358241;
Q9BQQ7	RTP3_HUMAN	RTP3 TMEM7 Z3CXXC3	ENST00000296142;
P09234	RU1C_HUMAN	SNRPC	ENST00000244520;
P08579	RU2B_HUMAN	SNRPB2	ENST00000246071;ENST00000377943;
Q9H714	RUBCL_HUMAN	RUBCNL C13orf18 KIAA0226L	ENST00000378784 [Q9H714-3];ENST00000378787 [Q9H714-4];ENST00000389908 [Q9H714-5];ENST00000429979 [Q9H714-5];ENST00000631139 [Q9H714-6];
Q6ZNE9	RUFY4_HUMAN	RUFY4	ENST00000344321 [Q6ZNE9-2];ENST00000457754 [Q6ZNE9-3];
Q59EK9	RUN3A_HUMAN	RUNDC3A RAP2IP RPIP8	ENST00000225441 [Q59EK9-3];ENST00000426726 [Q59EK9-1];ENST00000590941 [Q59EK9-2];
Q96NL0	RUN3B_HUMAN	RUNDC3B RPIB9 RPIP9	ENST00000338056 [Q96NL0-1];ENST00000394654 [Q96NL0-5];ENST00000493037 [Q96NL0-4];
P62304	RUXE_HUMAN	SNRPE	ENST00000414487;
A8MWD9	RUXGL_HUMAN	SNRPGP15	
P57060	RWD2B_HUMAN	RWDD2B C21orf6 GL011	ENST00000493196;
Q9Y3V2	RWDD3_HUMAN	RWDD3 RSUME	ENST00000263893 [Q9Y3V2-2];ENST00000370202 [Q9Y3V2-1];
P19793	RXRA_HUMAN	RXRA NR2B1	ENST00000481739 [P19793-1];
P31949	S10AB_HUMAN	S100A11 MLN70 S100C	ENST00000271638;
P80511	S10AC_HUMAN	S100A12	ENST00000368737;
P21453	S1PR1_HUMAN	S1PR1 CHEDG1 EDG1	ENST00000305352;
O95977	S1PR4_HUMAN	S1PR4 EDG6	ENST00000246115;
Q9Y694	S22A7_HUMAN	SLC22A7 NLT OAT2	ENST00000372574 [Q9Y694-3];ENST00000372585 [Q9Y694-1];ENST00000372589 [Q9Y694-2];
Q8IVM8	S22A9_HUMAN	SLC22A9 hOAT4 OAT7 UST3	ENST00000279178 [Q8IVM8-1];ENST00000536333 [Q8IVM8-2];
Q9NSA0	S22AB_HUMAN	SLC22A11 OAT4	ENST00000301891 [Q9NSA0-1];ENST00000377585 [Q9NSA0-2];
Q9Y226	S22AD_HUMAN	SLC22A13 OCTL1 ORCTL3	ENST00000311856 [Q9Y226-1];
Q8IZD6	S22AF_HUMAN	SLC22A15 FLIPT1 UNQ9429/PRO34686	ENST00000369502 [Q8IZD6-2];ENST00000369503 [Q8IZD6-1];
Q96BI1	S22AI_HUMAN	SLC22A18 BWR1A BWSCR1A HET IMPT1 ITM ORCTL2 SLC22A1L TSSC5	ENST00000312221;ENST00000347936;ENST00000380574;
Q9UGH3	S23A2_HUMAN	SLC23A2 KIAA0238 NBTL1 SLC23A1 SVCT2 YSPL2	ENST00000338244 [Q9UGH3-1];ENST00000379333 [Q9UGH3-1];
Q6PIS1	S23A3_HUMAN	SLC23A3 E2BP3 SVCT3	ENST00000295738 [Q6PIS1-2];ENST00000409878 [Q6PIS1-1];ENST00000455516 [Q6PIS1-5];
Q96DW6	S2538_HUMAN	SLC25A38	ENST00000273158;
Q8WUT9	S2543_HUMAN	SLC25A43	ENST00000217909 [Q8WUT9-1];
Q8N413	S2545_HUMAN	SLC25A45	ENST00000294187 [Q8N413-2];ENST00000398802 [Q8N413-1];ENST00000527174 [Q8N413-1];ENST00000534028 [Q8N413-4];
Q6Q0C1	S2547_HUMAN	SLC25A47 C14orf68 HDMCP HMFN1655	ENST00000361529 [Q6Q0C1-1];
P50443	S26A2_HUMAN	SLC26A2 DTD DTDST	ENST00000286298;
Q96RN1	S26A8_HUMAN	SLC26A8 TAT1	ENST00000355574 [Q96RN1-1];ENST00000394602 [Q96RN1-2];ENST00000490799 [Q96RN1-1];
Q6PCB7	S27A1_HUMAN	SLC27A1 ACSVL5 FATP1	ENST00000252595 [Q6PCB7-1];ENST00000598424 [Q6PCB7-2];
Q9HAS3	S28A3_HUMAN	SLC28A3 CNT3	ENST00000376238 [Q9HAS3-1];
Q99808	S29A1_HUMAN	SLC29A1 ENT1	ENST00000371708 [Q99808-1];ENST00000371713 [Q99808-1];ENST00000371724 [Q99808-1];ENST00000371731 [Q99808-1];ENST00000371740 [Q99808-1];ENST00000371755 [Q99808-1];ENST00000393841 [Q99808-1];ENST00000393844 [Q99808-1];ENST00000427851 [Q99808-1];
Q7RTT9	S29A4_HUMAN	SLC29A4 ENT4 PMAT PSEC0113	ENST00000297195 [Q7RTT9-1];ENST00000396872 [Q7RTT9-1];ENST00000406453 [Q7RTT9-2];
Q9UMX9	S45A2_HUMAN	SLC45A2 AIM1 MATP	ENST00000296589 [Q9UMX9-1];ENST00000382102 [Q9UMX9-4];
Q96FL8	S47A1_HUMAN	SLC47A1 MATE1	ENST00000270570 [Q96FL8-1];ENST00000395585 [Q96FL8-3];
Q6U841	S4A10_HUMAN	SLC4A10 NCBE	ENST00000375514 [Q6U841-3];ENST00000415876 [Q6U841-2];ENST00000446997 [Q6U841-1];
P18405	S5A1_HUMAN	SRD5A1	ENST00000274192;
P31213	S5A2_HUMAN	SRD5A2	ENST00000622030;
Q99729	ROAA_HUMAN	HNRNPAB ABBP1 HNRPAB	ENST00000355836 [Q99729-3];ENST00000358344 [Q99729-2];ENST00000504898 [Q99729-2];ENST00000506259 [Q99729-3];
Q9HCK4	ROBO2_HUMAN	ROBO2 KIAA1568	ENST00000461745 [Q9HCK4-1];ENST00000487694 [Q9HCK4-3];
Q9BZX4	ROP1B_HUMAN	ROPN1B	ENST00000251776 [Q9BZX4-1];ENST00000505382 [Q9BZX4-2];ENST00000511082 [Q9BZX4-2];ENST00000514116 [Q9BZX4-1];
P51449	RORG_HUMAN	RORC NR1F3 RORG RZRG	ENST00000318247 [P51449-1];ENST00000356728 [P51449-2];
O15446	RPA34_HUMAN	CD3EAP ASE1 CAST PAF49	ENST00000309424 [O15446-1];ENST00000589804 [O15446-2];
P61218	RPAB2_HUMAN	POLR2F POLRF	ENST00000442738;
P53803	RPAB4_HUMAN	POLR2K	ENST00000353107;
P62875	RPAB5_HUMAN	POLR2L	ENST00000322028;ENST00000534030;
Q92565	RPGF5_HUMAN	RAPGEF5 GFR KIAA0277 MRGEF	ENST00000401957 [Q92565-1];ENST00000620335 [Q92565-2];
Q96KN7	RPGR1_HUMAN	RPGRIP1	ENST00000382933 [Q96KN7-4];ENST00000400017 [Q96KN7-1];
Q92834	RPGR_HUMAN	RPGR RP3 XLRP3	ENST00000318842 [Q92834-2];ENST00000339363 [Q92834-1];ENST00000378505 [Q92834-6];ENST00000474584 [Q92834-5];ENST00000482855 [Q92834-3];
P49247	RPIA_HUMAN	RPIA RPI	ENST00000283646;
Q5VZM2	RRAGB_HUMAN	RRAGB	ENST00000262850 [Q5VZM2-1];ENST00000374941 [Q5VZM2-2];
P62070	RRAS2_HUMAN	RRAS2 TC21	ENST00000256196 [P62070-1];ENST00000414023 [P62070-2];ENST00000526063 [P62070-2];ENST00000529237 [P62070-2];ENST00000532814 [P62070-2];ENST00000534746 [P62070-2];ENST00000537760 [P62070-3];
P62277	RS13_HUMAN	RPS13	ENST00000525634;
Q9HA92	RSAD1_HUMAN	RSAD1	ENST00000258955 [Q9HA92-1];ENST00000515221 [Q9HA92-2];
Q8WXG1	RSAD2_HUMAN	RSAD2 CIG5	ENST00000382040;
Q86UC2	RSPH3_HUMAN	RSPH3 RSHL2 RSP3	ENST00000252655 [Q86UC2-1];
Q96IZ7	RSRC1_HUMAN	RSRC1 SRRP53 BM-011	ENST00000295930 [Q96IZ7-1];ENST00000312179 [Q96IZ7-2];ENST00000464171 [Q96IZ7-2];ENST00000480820 [Q96IZ7-1];ENST00000611884 [Q96IZ7-1];
Q92552	RT27_HUMAN	MRPS27 KIAA0264	ENST00000261413 [Q92552-1];ENST00000513900 [Q92552-2];
P51398	RT29_HUMAN	DAP3 MRPS29	ENST00000343043 [P51398-1];ENST00000368336 [P51398-1];ENST00000421487 [P51398-3];ENST00000471642 [P51398-2];ENST00000535183 [P51398-2];
Q92665	RT31_HUMAN	MRPS31 IMOGN38	ENST00000323563;
Q17RB0	RTL8B_HUMAN	RTL8B CXX1C FAM127C MAR8B	ENST00000391440;
O95197	RTN3_HUMAN	RTN3 ASYIP NSPL2	ENST00000339997 [O95197-2];ENST00000341307 [O95197-5];ENST00000354497 [O95197-6];ENST00000356000 [O95197-4];ENST00000377819 [O95197-1];ENST00000537981 [O95197-3];ENST00000540798 [O95197-7];
Q9BZR6	RTN4R_HUMAN	RTN4R NOGOR UNQ330/PRO526	ENST00000043402;
Q01196	RUNX1_HUMAN	RUNX1 AML1 CBFA2	ENST00000300305 [Q01196-8];ENST00000344691 [Q01196-1];ENST00000358356 [Q01196-3];ENST00000437180 [Q01196-8];
Q13761	RUNX3_HUMAN	RUNX3 AML2 CBFA3 PEBP2A3	ENST00000308873 [Q13761-1];ENST00000338888 [Q13761-2];ENST00000399916 [Q13761-2];
Q8N2Y8	RUSC2_HUMAN	RUSC2 KIAA0375	ENST00000361226;ENST00000455600;
Q8IZ73	RUSD2_HUMAN	RPUSD2 C15orf19	ENST00000315616 [Q8IZ73-1];ENST00000559271 [Q8IZ73-2];
Q96CM3	RUSD4_HUMAN	RPUSD4	ENST00000298317 [Q96CM3-1];ENST00000533628 [Q96CM3-2];
Q9Y230	RUVB2_HUMAN	RUVBL2 INO80J TIP48 TIP49B CGI-46	ENST00000595090 [Q9Y230-1];
P62308	RUXG_HUMAN	SNRPG PBSCG	ENST00000272348;
Q6NW29	RWDD4_HUMAN	RWDD4 FAM28A RWDD4A	ENST00000326397 [Q6NW29-1];ENST00000510968 [Q6NW29-2];
Q9Y2V3	RX_HUMAN	RAX RX	ENST00000256852 [Q9Y2V3-2];ENST00000334889 [Q9Y2V3-1];
Q9NUL5	RYDEN_HUMAN	RYDEN C19orf66	ENST00000253110 [Q9NUL5-1];ENST00000397881 [Q9NUL5-2];ENST00000591813 [Q9NUL5-4];
P21817	RYR1_HUMAN	RYR1 RYDR	ENST00000355481 [P21817-2];ENST00000359596 [P21817-1];
Q15413	RYR3_HUMAN	RYR3 HBRR	ENST00000415757 [Q15413-2];ENST00000634891 [Q15413-1];
P31151	S10A7_HUMAN	S100A7 PSOR1 S100A7C	ENST00000368722;ENST00000368723;
P06702	S10A9_HUMAN	S100A9 CAGB CFAG MRP14	ENST00000368738;
Q9BXP2	S12A9_HUMAN	SLC12A9 CCC6 CIP1	ENST00000354161 [Q9BXP2-1];ENST00000415287 [Q9BXP2-2];ENST00000540482 [Q9BXP2-4];
Q13183	S13A2_HUMAN	SLC13A2 NADC1 SDCT1	ENST00000314669 [Q13183-1];ENST00000444914 [Q13183-3];
Q86YT5	S13A5_HUMAN	SLC13A5 NACT	ENST00000293800 [Q86YT5-3];ENST00000381074 [Q86YT5-4];ENST00000433363 [Q86YT5-1];ENST00000573648 [Q86YT5-2];
O43304	S14L5_HUMAN	SEC14L5 KIAA0420	ENST00000251170;
Q9NRA2	S17A5_HUMAN	SLC17A5	ENST00000355773 [Q9NRA2-1];
Q9Y3U8	RL36_HUMAN	RPL36	ENST00000347512;ENST00000394580;ENST00000577222;ENST00000579649;
P39023	RL3_HUMAN	RPL3 OK/SW-cl.32	ENST00000216146;
P05388	RLA0_HUMAN	RPLP0	ENST00000228306 [P05388-1];ENST00000313104 [P05388-2];ENST00000392514 [P05388-1];ENST00000551150 [P05388-1];
Q13129	RLF_HUMAN	RLF	ENST00000372771;
Q9NRX2	RM17_HUMAN	MRPL17 LIP2	ENST00000288937;
Q9P0M9	RM27_HUMAN	MRPL27 HSPC250	ENST00000225969;
Q8IXM3	RM41_HUMAN	MRPL41 BMRP MRPL27 RPML27 PIG3	ENST00000371443;
Q9H9J2	RM44_HUMAN	MRPL44	ENST00000258383;
Q9H2W6	RM46_HUMAN	MRPL46 C15orf4 LIECG2	ENST00000312475;
Q9HD33	RM47_HUMAN	MRPL47 NCM1 CGI-204	ENST00000259038 [Q9HD33-2];ENST00000392659 [Q9HD33-3];ENST00000476781 [Q9HD33-1];
Q13405	RM49_HUMAN	MRPL49 C11orf4 NOF1 OK/SW-cl.67	ENST00000279242;ENST00000526319;
Q2KHN1	RN151_HUMAN	RNF151	ENST00000569714;
Q8N8N0	RN152_HUMAN	RNF152	ENST00000312828;
M0QZC1	RN225_HUMAN	RNF225	ENST00000601382;
A6NIE6	RN3P2_HUMAN	RRN3P2	
Q93091	RNAS6_HUMAN	RNASE6 RNS6	ENST00000304677;
Q92730	RND1_HUMAN	RND1 RHO6	ENST00000309739;
Q9H0F5	RNF38_HUMAN	RNF38	ENST00000259605 [Q9H0F5-1];ENST00000350199 [Q9H0F5-3];ENST00000353739 [Q9H0F5-2];ENST00000357058 [Q9H0F5-3];ENST00000377877 [Q9H0F5-4];ENST00000377885 [Q9H0F5-3];ENST00000611646 [Q9H0F5-4];
Q68DV7	RNF43_HUMAN	RNF43	ENST00000407977 [Q68DV7-1];ENST00000577625 [Q68DV7-3];ENST00000577716 [Q68DV7-1];ENST00000583753 [Q68DV7-2];ENST00000584437 [Q68DV7-1];
Q9HAU8	RNPL1_HUMAN	RNPEPL1	ENST00000270357;
Q5GAN6	RNS10_HUMAN	RNASE10	ENST00000328444 [Q5GAN6-1];ENST00000430083 [Q5GAN6-2];
Q5GAN4	RNS12_HUMAN	RNASE12	ENST00000556526;
Q5GAN3	RNS13_HUMAN	RNASE13	ENST00000382951;
P62851	RS25_HUMAN	RPS25	ENST00000527673;ENST00000628770;
P62273	RS29_HUMAN	RPS29	ENST00000245458 [P62273-1];ENST00000396020 [P62273-2];
P62241	RS8_HUMAN	RPS8 OK/SW-cl.83	ENST00000396651;
Q92681	RSCA1_HUMAN	RSC1A1	ENST00000345034;
Q92737	RSLAA_HUMAN	RASL10A RRP22	ENST00000216101 [Q92737-1];ENST00000401450 [Q92737-2];
Q15404	RSU1_HUMAN	RSU1 RSP1	ENST00000345264 [Q15404-1];ENST00000377921 [Q15404-1];ENST00000602389 [Q15404-2];
Q9Y3D3	RT16_HUMAN	MRPS16 RPMS16 CGI-132	ENST00000372945 [Q9Y3D3-1];
Q9Y2R5	RT17_HUMAN	MRPS17 RPMS17 HSPC011	ENST00000285298;
P23396	RS3_HUMAN	RPS3 OK/SW-cl.26	ENST00000278572 [P23396-2];ENST00000524851 [P23396-1];ENST00000527446 [P23396-1];ENST00000531188 [P23396-1];
Q9BU20	RSG1_HUMAN	RSG1 C1orf89	ENST00000375599;
Q96BR1	SGK3_HUMAN	SGK3 CISK SGKL	ENST00000345714 [Q96BR1-1];ENST00000396596 [Q96BR1-1];ENST00000520976 [Q96BR1-2];ENST00000521198 [Q96BR1-1];ENST00000522398 [Q96BR1-1];
O95470	SGPL1_HUMAN	SGPL1 KIAA1252	ENST00000373202;
Q96EQ0	SGTB_HUMAN	SGTB SGT2	ENST00000381007;
P04278	SHBG_HUMAN	SHBG	ENST00000380450 [P04278-1];ENST00000416273 [P04278-3];ENST00000441599 [P04278-4];ENST00000575903 [P04278-5];
P98077	SHC2_HUMAN	SHC2 SCK SHCB	ENST00000264554;
Q6S5L8	SHC4_HUMAN	SHC4 SHCD UNQ6438/PRO21364	ENST00000332408 [Q6S5L8-1];ENST00000396535 [Q6S5L8-2];
Q9Y274	SIA10_HUMAN	ST3GAL6 SIAT10	ENST00000265261 [Q9Y274-2];ENST00000394162 [Q9Y274-1];ENST00000483910 [Q9Y274-1];
Q92187	SIA8D_HUMAN	ST8SIA4 PST PST1 SIAT8D	ENST00000231461 [Q92187-1];ENST00000451528 [Q92187-2];
Q96RL6	SIG11_HUMAN	SIGLEC11 UNQ9222/PRO28718	ENST00000426971 [Q96RL6-2];ENST00000447370 [Q96RL6-1];
A6NMB1	SIG16_HUMAN	SIGLEC16 SIGLECP16	
P0DMW4	SIL2A_HUMAN	SMIM10L2A LINC00086 NCRNA00086	ENST00000417443;
Q96HG1	SIM10_HUMAN	SMIM10 CXorf69	ENST00000330288;
P0DKX4	SIM18_HUMAN	SMIM18	ENST00000517349;
P81133	SIM1_HUMAN	SIM1 BHLHE14	ENST00000262901;ENST00000369208;
Q8N5G0	SIM20_HUMAN	SMIM20 C4orf52 MITRAC7	ENST00000506197 [Q8N5G0-1];ENST00000614775 [Q8N5G0-2];
A4D0T7	SIM30_HUMAN	SMIM30	ENST00000397764;ENST00000441359;
Q8NCU8	SIM37_HUMAN	SMIM37 LINC00116 NCRNA00116	ENST00000414416 [Q8NCU8-1];ENST00000426713 [Q8NCU8-2];ENST00000611969 [Q8NCU8-2];
Q9BPZ7	SIN1_HUMAN	MAPKAP1 MIP1 SIN1	ENST00000265960 [Q9BPZ7-1];ENST00000350766 [Q9BPZ7-2];ENST00000373498 [Q9BPZ7-1];ENST00000373503 [Q9BPZ7-4];ENST00000373511 [Q9BPZ7-3];ENST00000394060 [Q9BPZ7-5];ENST00000394063 [Q9BPZ7-4];
Q96ST3	SIN3A_HUMAN	SIN3A	ENST00000360439;ENST00000394947;ENST00000394949;
Q9NTG7	SIR3_HUMAN	SIRT3 SIR2L3	ENST00000382743 [Q9NTG7-1];ENST00000529382 [Q9NTG7-2];
Q9Y6E7	SIR4_HUMAN	SIRT4 SIR2L4	ENST00000202967;
O00241	SIRB1_HUMAN	SIRPB1	ENST00000381603 [O00241-2];ENST00000381605 [O00241-1];
O75563	SKAP2_HUMAN	SKAP2 PRAP RA70 SAPS SCAP2 SKAP55R	ENST00000345317;
Q9Y448	SKAP_HUMAN	KNSTRN C15orf23 SKAP TRAF4AF1 HSD11	ENST00000249776 [Q9Y448-1];ENST00000416151 [Q9Y448-2];ENST00000448395 [Q9Y448-3];
P12757	SKIL_HUMAN	SKIL SNO	ENST00000259119 [P12757-1];ENST00000413427 [P12757-3];ENST00000426052 [P12757-5];ENST00000458537 [P12757-1];
Q4ZJI4	SL9B1_HUMAN	SLC9B1 NHA1 NHEDC1	ENST00000296422 [Q4ZJI4-1];ENST00000394789 [Q4ZJI4-3];ENST00000503584 [Q4ZJI4-5];ENST00000510243 [Q4ZJI4-5];
Q4G0N8	SL9C1_HUMAN	SLC9C1 SLC9A10	ENST00000305815 [Q4G0N8-1];ENST00000487372 [Q4G0N8-2];
Q9NQ25	SLAF7_HUMAN	SLAMF7 CS1 UNQ576/PRO1138	ENST00000359331 [Q9NQ25-5];ENST00000368042 [Q9NQ25-2];ENST00000368043 [Q9NQ25-1];ENST00000441662 [Q9NQ25-6];ENST00000444090 [Q9NQ25-4];ENST00000458602 [Q9NQ25-7];
Q96PX8	SLIK1_HUMAN	SLITRK1 KIAA1910 LRRC12 UNQ233/PRO266	ENST00000377084;
Q8IW52	SLIK4_HUMAN	SLITRK4	ENST00000338017;ENST00000356928;ENST00000596188;
Q14BN4	SLMAP_HUMAN	SLMAP KIAA1601 SLAP UNQ1847/PRO3577	ENST00000295951 [Q14BN4-3];ENST00000295952 [Q14BN4-3];ENST00000383718 [Q14BN4-6];ENST00000428312 [Q14BN4-1];ENST00000449503 [Q14BN4-2];
Q68D06	SLN13_HUMAN	SLFN13	ENST00000285013 [Q68D06-1];ENST00000526861 [Q68D06-1];ENST00000533791 [Q68D06-1];ENST00000534689 [Q68D06-2];ENST00000542635 [Q68D06-1];
P0C7P3	SLN14_HUMAN	SLFN14	ENST00000415846 [P0C7P3-1];
Q499Z3	SLNL1_HUMAN	SLFNL1	ENST00000302946 [Q499Z3-1];ENST00000359345 [Q499Z3-1];ENST00000372611 [Q499Z3-2];ENST00000372613 [Q499Z3-3];ENST00000439569 [Q499Z3-1];
Q5VYV7	SLX4I_HUMAN	SLX4IP C20orf94	ENST00000334534;
Q9Y6J3	SMA5O_HUMAN	SMAD5-AS1 DAMS SMAD5OS	
P62314	SMD1_HUMAN	SNRPD1	ENST00000300413;
Q9BVW6	SMIM2_HUMAN	SMIM2 C13orf44	ENST00000400419;ENST00000617002;
P0DI80	SMIM6_HUMAN	SMIM6 C17orf110	ENST00000556126;ENST00000579469;
Q9BQ49	SMIM7_HUMAN	SMIM7 C19orf42	ENST00000481671;ENST00000487416;ENST00000593404;ENST00000593409;ENST00000597781;ENST00000599310;
Q96KF7	SMIM8_HUMAN	SMIM8 C6orf162 DC18	ENST00000229570;ENST00000392863;ENST00000608353;ENST00000608868;
O43759	SNG1_HUMAN	SYNGR1	ENST00000318801 [O43759-2];ENST00000328933 [O43759-1];ENST00000381535 [O43759-3];
P0DPA3	SNH28_HUMAN	SNHG28 C1orf204	ENST00000368102;ENST00000621242;
Q6IEG0	SNR48_HUMAN	SNRNP48 C6orf151	ENST00000342415 [Q6IEG0-1];
Q9Y5X0	SNX10_HUMAN	SNX10	ENST00000338523 [Q9Y5X0-1];ENST00000396376 [Q9Y5X0-1];ENST00000409838 [Q9Y5X0-2];ENST00000446848 [Q9Y5X0-1];
Q9Y343	SNX24_HUMAN	SNX24 SBBI31 UNQ654/PRO1284	ENST00000261369 [Q9Y343-1];ENST00000506996 [Q9Y343-2];ENST00000513881 [Q9Y343-2];
Q96L92	SNX27_HUMAN	SNX27 KIAA0488 My014	ENST00000368838 [Q96L92-2];ENST00000368843 [Q96L92-3];ENST00000458013 [Q96L92-1];
O95219	SNX4_HUMAN	SNX4	ENST00000251775 [O95219-1];
Q9UNH7	SNX6_HUMAN	SNX6	ENST00000396526 [Q9UNH7-2];
Q9BZZ2	SN_HUMAN	SIGLEC1 SN	ENST00000344754 [Q9BZZ2-1];
Q9Y6L6	SO1B1_HUMAN	SLCO1B1 LST1 OATP1B1 OATP2 OATPC SLC21A6	ENST00000256958;
G3V0H7	SO1B7_HUMAN	SLCO1B7 LST3 LST3TM12	ENST00000421593;
Q6ZQN7	SO4C1_HUMAN	SLCO4C1 OATP4C1 OATPX SLC21A20	ENST00000310954;
Q9H2Y9	SO5A1_HUMAN	SLCO5A1 OATP5A1 SLC21A15	ENST00000260126 [Q9H2Y9-1];ENST00000524945 [Q9H2Y9-3];ENST00000530307 [Q9H2Y9-2];
O14543	SOCS3_HUMAN	SOCS3 CIS3 SSI3	ENST00000330871;
Q8WY21	SORC1_HUMAN	SORCS1 SORCS	ENST00000263054 [Q8WY21-1];
P30626	SORCN_HUMAN	SRI	ENST00000265729 [P30626-1];ENST00000394641 [P30626-2];ENST00000431660 [P30626-3];
Q07889	SOS1_HUMAN	SOS1	ENST00000402219 [Q07889-1];ENST00000426016 [Q07889-1];
Q96AH0	SOSB2_HUMAN	NABP1 OBFC2A SSB2	ENST00000307849 [Q96AH0-3];ENST00000409510 [Q96AH0-2];ENST00000410026 [Q96AH0-2];ENST00000425611 [Q96AH0-1];ENST00000451500 [Q96AH0-3];
Q9NRY2	SOSSC_HUMAN	INIP C9orf80 SSBIP1 HSPC043 HSPC291	ENST00000374242 [Q9NRY2-1];
P56693	SOX10_HUMAN	SOX10	ENST00000360880 [P56693-1];ENST00000396884 [P56693-1];
O15370	SOX12_HUMAN	SOX12 SOX22	ENST00000342665;
O00570	SOX1_HUMAN	SOX1	ENST00000330949;
P48436	SOX9_HUMAN	SOX9	ENST00000245479;
P35237	SPB6_HUMAN	SERPINB6 PI6 PTI	ENST00000335686;ENST00000380520;ENST00000380524;ENST00000380529;ENST00000380539;ENST00000380546;
Q8NBT2	SPC24_HUMAN	SPC24 SPBC24	ENST00000592540;
Q8NFV5	SPDE1_HUMAN	SPDYE1 WBSCR19	ENST00000258704;
P0CI01	SPDE6_HUMAN	SPDYE6	
Q9C093	SPEF2_HUMAN	SPEF2 KIAA1770 KPL2	ENST00000282469 [Q9C093-3];ENST00000356031 [Q9C093-1];ENST00000440995 [Q9C093-2];
Q8N4L4	SPEM1_HUMAN	SPEM1 C17orf83	ENST00000323675;ENST00000640564;
Q12765	SCRN1_HUMAN	SCRN1 KIAA0193	ENST00000242059 [Q12765-1];ENST00000409497 [Q12765-1];ENST00000425819 [Q12765-3];ENST00000426154 [Q12765-1];ENST00000434476 [Q12765-2];
Q0VDG4	SCRN3_HUMAN	SCRN3	ENST00000272732 [Q0VDG4-1];ENST00000409673 [Q0VDG4-2];
Q96KG9	SCYL1_HUMAN	SCYL1 CVAK90 GKLP NTKL TAPK TEIF TRAP HT019	ENST00000270176 [Q96KG9-1];ENST00000420247 [Q96KG9-2];ENST00000533862 [Q96KG9-6];
Q9NVU7	SDA1_HUMAN	SDAD1 NUC130	ENST00000356260 [Q9NVU7-1];
P18827	SDC1_HUMAN	SDC1 SDC	ENST00000254351;ENST00000381150;
A6NFY7	SDHF1_HUMAN	SDHAF1 LYRM8	ENST00000378887;
Q9NX18	SDHF2_HUMAN	SDHAF2 C11orf79 PGL2 SDH5	ENST00000301761;
Q6ZPB5	SDIM1_HUMAN	SDIM1	
Q68CR1	SE1L3_HUMAN	SEL1L3 KIAA0746	ENST00000264868 [Q68CR1-2];ENST00000399878 [Q68CR1-1];ENST00000502949 [Q68CR1-3];
Q9BYH1	SE6L1_HUMAN	SEZ6L KIAA0927 UNQ2542/PRO6094	ENST00000248933 [Q9BYH1-1];ENST00000343706 [Q9BYH1-5];ENST00000360929 [Q9BYH1-4];ENST00000404234 [Q9BYH1-6];ENST00000629590 [Q9BYH1-7];
Q6UXD5	SE6L2_HUMAN	SEZ6L2 PSK UNQ1903/PRO4349	ENST00000308713 [Q6UXD5-1];ENST00000346932 [Q6UXD5-6];ENST00000350527 [Q6UXD5-3];ENST00000537485 [Q6UXD5-5];
